product_category_name_english,total_sales
bed_bath_table,10953
health_beauty,9465
sports_leisure,8430
furniture_decor,8160
computers_accessories,7643
housewares,6795
watches_gifts,5857
telephony,4430
garden_tools,4268
auto,4139
toys,4029
cool_stuff,3718
perfumery,3340
baby,2982
electronics,2729
stationery,2466
fashion_bags_accessories,1985
pet_shop,1924
office_furniture,1668
consoles_games,1089
luggage_accessories,1077
construction_tools_construction,916
home_appliances,754
small_appliances,658
musical_instruments,651
home_construction,596
books_general_interest,536
food,499
furniture_living_room,495
home_confort,429
audio,362
drinks,361
market_place,305
construction_tools_lights,301
air_conditioning,289
kitchen_dining_laundry_garden_furniture,274
food_drink,269
industry_commerce_and_business,264
books_technical,263
fashion_shoes,257
fixed_telephony,255
costruction_tools_garden,232
home_appliances_2,231
agro_industry_and_commerce,206
computers,199
art,197
signaling_and_security,197
construction_tools_safety,183
christmas_supplies,150
fashion_underwear_beach,127
fashion_male_clothing,125
furniture_bedroom,103
costruction_tools_tools,103
tablets_printing_image,83
small_appliances_home_oven_and_coffee,73
cine_photo,70
dvds_blu_ray,61
books_imported,57
fashio_female_clothing,45
party_supplies,42
music,38
furniture_mattress_and_upholstery,37
diapers_and_hygiene,37
flowers,33
home_comfort_2,30
fashion_sport,29
arts_and_craftmanship,24
la_cuisine,14
cds_dvds_musicals,14
fashion_childrens_clothes,7
security_and_services,2
